filepath,label
data/raw/face130k/fake/SDXL/SDXL_image_0033617.jpg,1
data/raw/face130k/real/58267.jpg,0
data/raw/face130k/real/17564.jpg,0
data/raw/face130k/real/46348.jpg,0
data/raw/face130k/real/48259.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0011736.jpg,1
data/raw/face130k/real/13520.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0006735.jpg,1
data/raw/face130k/real/22058.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0002991.jpg,1
data/raw/face130k/real/36844.jpg,0
data/raw/face130k/real/15879.jpg,0
data/raw/face130k/real/38905.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0016643.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0037573.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0039737.jpg,1
data/raw/face130k/real/48273.jpg,0
data/raw/face130k/real/62323.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0010424.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0029651.jpg,1
data/raw/face130k/real/16438.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0014567.jpg,1
data/raw/face130k/real/48485.jpg,0
data/raw/face130k/real/60132.jpg,0
data/raw/face130k/real/50693.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0027813.jpg,1
data/raw/face130k/fake/FLUX_DEV/FLUX1_dev_image_0005698.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0001021.jpg,1
data/raw/face130k/real/05737.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0016175.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0046118.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0003567.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0016243.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0018416.jpg,1
data/raw/face130k/real/63176.jpg,0
data/raw/face130k/real/23056.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0046778.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0010501.jpg,1
data/raw/face130k/real/55265.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0041025.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0019197.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0033529.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0033665.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0012691.jpg,1
data/raw/face130k/real/53025.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0001165.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0027612.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0039700.jpg,1
data/raw/face130k/real/36733.jpg,0
data/raw/face130k/real/29037.jpg,0
data/raw/face130k/real/30826.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0052638.jpg,1
data/raw/face130k/real/46497.jpg,0
data/raw/face130k/real/15900.jpg,0
data/raw/face130k/fake/SDXL/SDXL_image_0051886.jpg,1
data/raw/face130k/fake/SDXL/SDXL_image_0016373.jpg,1
data/raw/face130k/real/58207.jpg,0
data/raw/face130k/real/68151.jpg,0
